整数型|整数型|整数型|整数型|整数型|整数型|整数型|不可用|整数型|字符型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|字符型|整数型|字符型|不可用|整数型|字符型|整数型|整数型|不可用|不可用|不可用|整数型|整数型|整数型|字符型|整数型|字符型|整数型|字符型|整数型|整数型|不可用|整数型|整数型|整数型|整数型|整数型|整数型|整数型|字符型|整数型|整数型|字符型|不可用|字符型
4|0|1|0|0|1|0| |1|restore|0|0|1|1|0|0|0|0|0|1|0|0|永恒号角|使用后可以发布所有服务器都可见的聊天信息。\n\n|1|\UI\Icon\equip\haojiao.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
5|0|1|0|0|1|0| |1|restore|0|0|1|1|0|0|0|0|0|1|0|0|圣号角|使用后可以发布全服务器可见的聊天信息。\n\n|1|\UI\Icon\equip\equip_5.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
6|0|1|0|0|1|0| |1|restore|0|0|1|1|0|0|0|0|0|1|0|0|改名卡|使用后可以改变角色的名字。\n\n|1|\UI\Icon\equip\gaimingka.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1|252;254;255;256;280;300;301;302|0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
7|0|1|0|0|1|0| |1|restore|0|0|1|1|0|0|0|0|0|1|0|0|Solo许可证|可以向任意一玩家发起Solo的挑战。\n\n|1|\UI\Icon\equip\solo.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
8|0|1|0|0|1|0| |1|armour|0|0|1|1|1|0|1|0|1|0|0|0|未知|<color=ff6600>未知|1|\UI\Icon\equip\weizhi.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|0| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
9|0|1|0|0|1|0| |1|charm|0|0|1|1|1|0|1|0|0|0|0|0|打孔符|装备打孔的必须材料<#ff00ff00=右键点击打孔符后对装备使用能对装备进行打孔操作打孔成功后装备将会获得一个宝石镶嵌孔#> 可交易|1|\UI\Icon\Restore\9.dds| |9901|普通|0|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|0| |0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
10|0|1|0|0|1|0| |1|restore|0|0|1|1|0|0|0|0|0|1|0|0|赎回券|可用于装备以及宝石的赎回。\n\n|1|\UI\Icon\equip\shuhui.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|4| |0|0|0|0|0|0|0|0.000000|0|0|0.000000| |0.000000
13|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|天道佩恩礼包|使用后获得天道佩恩|1|UI\Head\role\chara_0013.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|13|0|0.000000|0|0|-20042.000000| |0.000000
13|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|绘梨衣礼包|使用后获得绘梨衣|1|UI\Head\role\chara_0295.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|13|0|0.000000|0|0|20042.000000| |0.000000
17|0|1|0|0|1|0| |1|hero|0|0|1|0|0|0|0|0|1|1|0|0|平和岛静雄礼包|使用后获得平和岛静雄|1|UI\Head\role\chara_0017.dds| |9901|普通|4229|1| | | |1000|0|0|..\Data\Sceneobjs\Common\diaoluo\diaoluo.x|1| |0|0.000000|0|1| |0|0|0|0|0|17|0|0.000000|0|0|0.000000| |0.000000
